URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,79,Broadway,POINT,-73.92582,40.76
http://web.mta.info/nyct/service/,80,Times Sq - 42nd St,POINT,-73.98677,40.75
http://web.mta.info/nyct/service/,81,Grand Central - 42nd St,POINT,-73.97919,40.75
http://web.mta.info/nyct/service/,82,Park Pl,POINT,-73.95762,40.67
http://web.mta.info/nyct/service/,83,111th St,POINT,-73.83216,40.68
http://web.mta.info/nyct/service/,84,W 4th St - Washington Sq (Lower),POINT,-74.00031,40.73
http://web.mta.info/nyct/service/,85,51st St,POINT,-73.97192,40.76
http://web.mta.info/nyct/service/,86,86th St,POINT,-73.97622,40.79
http://web.mta.info/nyct/service/,87,233rd St,POINT,-73.85736,40.89
http://web.mta.info/nyct/service/,88,66th St - Lincoln Ctr,POINT,-73.98221,40.77
http://web.mta.info/nyct/service/,89,Hunts Point Ave,POINT,-73.89055,40.82
http://web.mta.info/nyct/service/,90,Canal St,POINT,-74.00628,40.72
http://web.mta.info/nyct/service/,91,Middletown Rd,POINT,-73.83632,40.84
http://web.mta.info/nyct/service/,92,23rd St,POINT,-73.9866,40.74
http://web.mta.info/nyct/service/,93,Court Sq,POINT,-73.94526,40.75
http://web.mta.info/nyct/service/,94,59th St - Columbus Circle,POINT,-73.98193,40.77
http://web.mta.info/nyct/service/,95,Hunters Point Ave,POINT,-73.94892,40.74
http://web.mta.info/nyct/service/,96,23rd St,POINT,-73.99566,40.74
http://web.mta.info/nyct/service/,97,Houston St,POINT,-74.00537,40.73
http://web.mta.info/nyct/service/,98,104th St,POINT,-73.83768,40.68
http://web.mta.info/nyct/service/,99,Broad Channel,POINT,-73.81583,40.61
http://web.mta.info/nyct/service/,100,Ocean Pkwy,POINT,-73.9685,40.58
http://web.mta.info/nyct/service/,101,Vernon Blvd - Jackson Ave,POINT,-73.95358,40.74
http://web.mta.info/nyct/service/,102,68th St - Hunter College,POINT,-73.96387,40.77
http://web.mta.info/nyct/service/,103,Queensboro Plz,POINT,-73.94016,40.75
http://web.mta.info/nyct/service/,104,Rockaway Blvd,POINT,-73.84385,40.68
http://web.mta.info/nyct/service/,105,Union Sq - 14th St,POINT,-73.98995,40.73
http://web.mta.info/nyct/service/,106,Bedford - Nostrand Aves,POINT,-73.95352,40.69
http://web.mta.info/nyct/service/,107,15th St - Prospect Park,POINT,-73.97974,40.66
http://web.mta.info/nyct/service/,108,7th Ave,POINT,-73.98025,40.67
http://web.mta.info/nyct/service/,109,Ft Hamilton Pkwy,POINT,-73.97578,40.65
http://web.mta.info/nyct/service/,110,Church Ave,POINT,-73.97972,40.64
http://web.mta.info/nyct/service/,111,Beverly Rd,POINT,-73.96436,40.64
http://web.mta.info/nyct/service/,112,Church Ave,POINT,-73.96288,40.65
http://web.mta.info/nyct/service/,113,Newkirk Ave,POINT,-73.96269,40.64
http://web.mta.info/nyct/service/,114,Parkside Ave,POINT,-73.96145,40.66
http://web.mta.info/nyct/service/,115,Grand Army Plaza,POINT,-73.97096,40.68
http://web.mta.info/nyct/service/,116,Atlantic Av - Barclay's Center,POINT,-73.97755,40.68
